index,name,date_of_birth,height,weight,spike,block,position_number,country
195,Katarina Marinkovic,04/04/1996,186,72,298,285,2,24
196,Jelena Vignjevic,07/06/1996,180,63,285,280,1,24
197,Maja Aleksic,06/06/1997,188,72,290,285,3,24
198,Katarina Lazovic,12/09/1999,182,65,285,275,2,24
199,Bojana Milenkovic,06/03/1997,185,70,294,288,2,24
200,Aleksandra Tadic,24/12/1997,174,60,270,265,6,24
201,Sara Vucicevic,29/04/1997,186,66,287,282,3,24
202,Milena Dimic,31/08/1997,170,64,255,250,6,24
203,Marija Vujnovic,11/05/1997,182,65,290,276,2,24
204,Leslie Angélica Lopez Flores,13/02/1996,169,78,198,190,6,19
205,Maria Fernanda Rodriguez Gomez,23/06/1997,185,80,287,280,4,19
206,Janeth Alejandra Vargas Guevara,25/07/1997,169,68,200,210,1,19
207,Maria Elena Aguilera,08/06/1997,153,55,260,240,1,19
208,Kathya Paulina Garcia Chavez,06/03/1998,178,69,285,250,2,19
209,Miriam Arleth Bojorquez Ruiz,14/12/1997,164,66,195,200,2,19
210,Montserrat Castro Narvaez,12/12/1996,199,85,270,268,3,19
211,Fernanda Bañuelos,19/03/1997,186,70,303,285,2,19
212,Kitzia Adonay Corrales Hernandez,12/02/1996,178,71,0,0,4,19
213,Karina Angelica Flores Gamez,16/08/1998,192,80,299,285,3,19
214,Mitzy Natalia Gonzalez Guzman,03/08/1997,168,75,211,209,2,19
215,Alondra Amaro Rodriguez,09/06/1998,188,69,275,250,3,19
216,Dalila Palma Rodriguez,18/11/1999,182,62,301,285,4,31
217,Laura Beatriz Suarez Hernandez,13/12/1998,185,75,304,292,3,31
218,Aidachi Attilah Aguero Aguilera,19/03/1999,177,69,304,295,2,31
219,Claudia Hernandez Aguila,09/01/1997,181,78,225,223,2,31
220,Diaris De La Caridad Perez Ramos,16/11/1998,182,75,304,295,2,31
221,Kitania Medina Torres,24/02/1999,186,77,308,295,4,31
222,Ailama Cese Montalvo,29/10/2000,188,58,322,308,2,31
223,Liset Herrera Blanco,06/12/1998,192,70,311,300,3,31
224,Anaila Martinez Chaviano,20/03/1999,184,70,320,310,1,31
225,Carmela Massip Mursuli,17/01/1998,181,65,304,295,2,31
226,Sonia Beatriz Romero Espinosa,02/08/1997,183,70,301,288,1,31
227,Anet Alfonso Benitez,26/06/1996,172,54,225,222,4,31
228,Haiping Sun,23/05/1996,180,65,300,292,1,5
229,Mingyuan Hu,17/05/1996,187,69,305,297,3,5
230,Zixuan Meng,18/11/1996,180,62,298,290,6,5
231,Ye Jin,01/03/1996,187,77,310,302,2,5
232,Qingqing Du,18/12/1996,189,72,312,300,2,5
233,Qian Zhang,20/02/1997,193,70,313,302,3,5
234,Jiayi Huang,16/08/1996,173,60,285,275,6,5
235,Wanqianbai Rong,01/01/1997,184,75,304,297,1,5
236,Yuanyuan Wang,14/07/1997,195,75,312,300,3,5
237,Xiangyu Gong,21/04/1997,186,72,313,302,4,5
238,Xinyi Zhou,17/03/1997,187,69,307,300,2,5
239,Yi Yang,19/03/1997,184,70,308,300,4,5
240,Mayar Mohamed,05/02/2000,186,78,288,279,3,29
241,Mai Moustafa,01/10/1996,175,63,280,269,2,29
242,Salma Mahmoud,04/02/1999,175,56,278,266,2,29
243,Nourallah Amin,25/11/2000,184,70,285,276,3,29
244,Malak Badawy,17/06/1996,175,64,273,289,4,29
245,Mariam Ebrahim,13/03/1997,167,63,273,261,1,29
246,Rahma Almohandes,09/11/1996,175,63,277,265,2,29
247,Yasmin Hussein,11/01/1997,175,74,188,178,2,29
248,Hend Farag,29/09/1997,186,68,277,272,3,29
249,Icel Nadim,19/02/1996,162,52,253,267,6,29
250,Jailan Tawfik,12/06/1997,175,65,292,279,4,29
251,Rania Ashmawy,20/02/1996,174,67,273,264,1,29
252,Diana De La Peña,07/06/1999,187,60,294,295,3,30
253,Nair Canessa,04/06/1997,185,70,295,298,3,30
254,Nicole Abreu Erquinigo,27/03/1999,180,63,285,270,2,30
255,Cristina Cuba,04/06/1996,176,65,280,275,1,30
256,Shiamara Almeida,19/02/1996,172,62,286,275,1,30
257,Maguilaura Frias,28/05/1997,186,71,291,280,4,30
258,Katherine Regalado,11/03/1998,190,66,296,287,4,30
259,Rosa Valiente,26/06/1996,183,60,290,295,3,30
260,Angela Leyva,22/11/1996,184,70,312,291,2,30
261,Yomira Villacorta,11/01/1996,164,61,265,250,6,30
262,Dayana Rojas,09/10/1997,160,55,178,180,2,30
263,Coraima Gomez,09/08/1996,179,70,300,285,2,30
264,Ilaria Bonvicini,28/02/1997,160,52,261,243,2,15
265,Carlotta Cambi,28/05/1996,177,66,302,292,1,15
266,Sofia D'odorico,06/01/1997,187,78,312,302,2,15
267,Alessia Orro,18/07/1998,180,74,308,231,1,15
268,Sara Bonifacio,03/07/1996,188,76,320,300,3,15
269,Anna Danesi,20/04/1996,195,75,312,246,3,15
270,Anastasia Guerra,15/10/1996,187,80,314,239,2,15
271,Chiara De Bortoli,28/07/1997,180,68,302,286,6,15
272,Paola Ogechi Egonu,18/12/1998,190,70,336,256,4,15
273,Beatrice Berti,12/01/1996,193,87,304,288,3,15
274,Anna Nicoletti,03/01/1996,193,86,306,290,4,15
275,Elisa Zanette,17/02/1996,193,86,304,288,4,15
276,Melis Yilmaz,28/06/1997,165,52,260,259,6,26
